the,这
bend,弯曲
saving,保存
gain,获得
desert,沙漠
shall,将
error,错误
release,释放
cop,警察
Arab,阿拉伯
double,双倍的
walk,走
sand,沙
Spanish,西班牙语
rule,规则
hit,打
print,打印
preserve,保存
passage,通道
formal,正式的
transition,过渡
existence,存在
album,专辑
participation,参与
arrange,安排
atmosphere,大气层
joint,联合的
reply,回复
cycle,循环
opposite,对面的
lock,锁
whole,所有的
deserve,应得
consistent,持续的
resistance,反抗
discovery,发现
tear,眼泪
exposure,暴露
pose,姿势
stream,溪流
sale,销售
trust,相信
benefit,益处
pot,锅
grand,盛大
mine,矿
hello,你好
coalition,联盟
tale,故事
knife,刀
resolve,解决
racial,种族
phase,阶段
present,展示
joke,玩笑
coat,外套
Mexican,墨西哥人
symptom,症状
contact,接触
manufacturer,制造商
philosophy,哲学
potato,土豆
interview,面试
foundation,基础
quote,引用
online,在线的
pass,经过
negotiation,谈判
good,好的
urge,敦促
occasion,场合
dust,灰尘
breathe,呼吸
elect,选
investigator,研究者
jacket,夹克
glad,高兴的
ordinary,普通的
reduction,减少
rarely,很少
shift,转移
pack,盒
suicide,自杀
numerous,很多的
touch,触碰
substance,物质
discipline,纪律
elsewhere,别处
iron,铁
practical,实际的
moreover,而且
passion,热情
volunteer,志愿者
implement,实施
essentially,本质上
gene,基因
enforcement,强制
vs,VS
sauce,酱
independence,独立
marketing,营销
priest,牧师
amazing,惊人的
intense,激烈的
advance,进步
employer,雇主
shock,震惊
inspire,启发
adjust,调整
retire,退休
sure,当然
visible,可见的
kiss,吻
illness,疾病
cap,帽
habit,习惯
competitive,竞争的
juice,果汁
congressional,国会
involvement,参与
dominate,支配
previously,之前
whenever,每当
transfer,转移
analyze,分析
another,其他
attach,附
for,为了
Indian,印度人
disaster,灾难
parking,停车处
prospect,展望
boss,老板
complaint,抱怨
championship,锦标赛
coach,教练
exercise,锻炼
fundamental,基本的
severe,严重
enhance,提高
mystery,神秘
impose,强加
poverty,贫困
other,其他
entry,入口
fat,胖的
spending,开支
king,王
evaluate,评估
symbol,象征
still,仍然
trade,贸易
maker,制作者
mood,情绪
accomplish,完成
emphasis,重点
illustrate,阐明
boot,靴
monitor,监视器
Asian,亚洲
entertainment,娱乐
bean,豆角，扁豆
evaluation,评估
creature,生物
commander,指挥官
digital,数字的
arrangement,安排
concentrate,集中
total,全部的
usual,通常
anger,愤怒
psychological,心理
heavily,严重
peak,顶峰
approximately,大约
increasing,增加
disorder,紊乱
missile,导弹
equally,一样
vary,各不相同
wire,金属丝
round,圆形的
distribution,分配
transportation,运输
holy,圣
ring,戒指
twin,双胞胎
command,命令
commission,委员会
interpretation,解释
breakfast,早餐
stop,停止
strongly,非常
engineering,工程
luck,运气
so-called,所谓
constant,持续的
race,种族
clinic,诊所
veteran,老将
smell,闻
tablespoon,汤匙
capable,有能力的
nervous,紧张的
tourist,游客
light,光
toss,折腾
crucial,至关重要的
bury,埋葬
pray,祈祷
tomato,番茄
exception,例外
butter,牛油
deficit,赤字
bathroom,浴室
objective,客观的
block,堵塞
electronic,电子的
ally,盟友
journey,旅行
reputation,名声
mixture,混合物
surely,一定
tower,塔
smoke,抽烟
confront,面对
pure,纯的
glance,一瞥
dimension,尺寸
toy,玩具
prisoner,囚犯
fellow,同伴
smooth,光滑的
nearby,附近
peer,同行
designer,设计师
personnel,人员
shape,形状
educator,教育家
relative,相对的
immigration,移民
belt,腰带
teaspoon,茶匙
birthday,生日
implication,含义
perfectly,完美
coast,滨
supporter,支持者
accompany,陪伴
silver,银
teenager,青少年
recognition,认出
retirement,退休
flag,旗帜
recovery,恢复
whisper,耳语
watch,手表
gentleman,绅士
corn,玉米
moon,月亮
inner,内
junior,初级
rather,相当
throat,喉
salary,薪水
swing,摇摆
observer,观察者
due,到期的
straight,直的
publication,出版物
pretty,漂亮
crop,庄稼
dig,挖
strike,罢工
permanent,永恒的
plant,植物
phenomenon,现象
anxiety,焦虑
unlike,不像
wet,弄湿
literally,字面上地
resist,抵抗
convention,习俗
embrace,拥抱
supply,供应
assist,助攻
exhibition,展览
construct,构造
viewer,观众
pan,平底锅
consultant,顾问
soon,很快
line,线
administrator,行政人员
date,日期
occasionally,偶尔
mayor,市长
consideration,考虑
CEO,首席执行官
secure,安全的
pink,粉色的
smoke,抽烟
estimate,估计
buck,降压
historic,历史性
poem,诗
grandmother,祖母
bind,捆绑
fifth,第五
constantly,不断地
enterprise,企业
favor,青睐
testing,测试
stomach,胃
apparent,明显的
weigh,称重
install,安装
sensitive,敏感的
suggestion,建议
mail,邮件
recipe,食谱
reasonable,合理的
preparation,准备
wooden,木制的
elementary,初级
concert,音乐会
aggressive,挑衅的
FALSE,错误的
intention,意图
channel,渠道
extreme,极端
tube,管子
drawing,画画
protein,蛋白质
quit,退出
absence,缺席
roll,卷
Latin,拉丁
rapidly,急速
jail,监狱
comment,评论
diversity,多样性
honest,诚实
Palestinian,巴勒斯坦的
pace,步伐
employment,雇用
speaker,扬声器
impression,印象
essay,散文
respondent,回答者
giant,巨大的
cake,蛋糕
historian,历史学家
negotiate,谈判
restore,恢复
substantial,重大的
pop,流行音乐
particular,特定
specialist,专家
origin,起源
approval,赞同
mine,矿
quietly,悄悄
advise,建议
conventional,传统的
drop,降低
count,数数
depth,深度
wealth,财富
disability,失能
shell,贝壳
general,一般的
criticize,批评
fast,快速地
professional,专业的
effectively,有效地
biological,生物
pack,盒
onion,洋葱
deputy,副
flat,平坦的
brand,牌
assure,保证
mad,疯狂的
award,奖
criteria,标准
dealer,零售商
via,通过
alternative,选择
utility,公用事业
precisely,恰恰
arise,出现
armed,武装
nevertheless,尽管如此
highway,高速公路
clinical,临床
routine,常规
schedule,日程
wage,工资
normally,一般
phrase,短语
ingredient,成分
stake,赌注
Muslim,穆斯林
dream,梦
fiber,纤维
activist,活动家
Islamic,清真
snap,折断
terrorism,恐怖主义
refugee,难民
incorporate,包含
hip,时髦的
ultimate,最终的
switch,转变
corporation,公司
valuable,有价值的
assumption,假设
gear,齿轮
graduate,毕业
barrier,障碍
minor,次要的
provision,条款
killer,凶手
assign,分配
gang,结伙
developing,发展
classic,经典的
chemical,化学
wave,海浪
label,标签
teen,青少年
index,指数
vacation,假期
advocate,提倡
draft,草案
extraordinary,非凡的
heaven,天堂
rough,粗糙的
yell,叫喊
pregnant,孕
distant,遥远
drama,戏剧
satellite,卫星
personally,亲身
wonder,想知道
clock,时钟
chocolate,巧克力
Italian,意大利
Canadian,加拿大
ceiling,天花板
sweep,扫
advertising,广告
universal,普遍的
spin,旋转
house,房子
button,按钮
bell,钟
rank,秩
darkness,黑暗
ahead,先
clothing,衣服
super,极好的
yield,屈服
fence,栅栏
portrait,肖像
paint,画
survival,生存
roughly,大致
lawsuit,诉讼
bottom,底部
testimony,见证
bunch,束
beat,打
wind,风
found,成立
burden,负担
react,应对
chamber,室
furniture,家具
cooperation,合作
string,细绳
ceremony,仪式
communicate,交流
taste,品尝
cheek,脸颊
lost,丢失
profile,轮廓
mechanism,机制
disagree,不同意
like,喜欢
penalty,惩罚
match,比赛
ie,IE
advance,进步
resort,采取
destruction,毁坏
bear,熊
unlikely,不会
tissue,组织
constitutional,构成
pant,喘气
stranger,陌生人
infection,感染
cabinet,内阁
broken,破碎的
apple,苹果
electric,电的
proceed,继续
track,追踪
bet,赌注
literary,文
virus,病毒
stupid,愚蠢的
dispute,争议
fortune,幸运
strategic,战略
assistant,助手
overcome,克服
remarkable,卓越
occupy,占据
statistics,统计数据
shopping,购物
cousin,表哥
encounter,遇到
wipe,擦拭
initially,最初
blind,瞎的
white,白色的
port,港口
honor,荣誉
electricity,电
genetic,遗传
adviser,顾问
pay,支付
spokesman,发言人
retain,保持
latter,后者
incentive,激励
slave,奴隶
chemical,化学
translate,翻译
accurate,准确的
whereas,然而
terror,恐怖
though,尽管
expansion,扩张
elite,原种
Olympic,奥林匹克
dirt,污垢
odd,奇怪的
rice,白饭
bullet,子弹
tight,紧的
Bible,圣经
chart,图表
solar,太阳的
decline,衰退
conservative,保守的
process,过程
square,正方形
stick,戳
concentration,专注
complicated,复杂的
gently,平缓
champion,冠军
scenario,设想
telescope,望远镜
reflection,反射
revolution,革命
strip,跳闸
interpret,解释
friendly,友好的
tournament,比赛
fiction,小说
detect,探测
balance,平衡
likely,容易
tremendous,巨大的
lifetime,寿命
recommendation,推荐
flow,流动
senator,参议员
market,市场
hunting,打猎
salad,沙拉
guarantee,保证
innocent,清白的
boundary,边界
pause,暂停
remote,偏僻的
satisfaction,满意
journal,杂志
bench,长椅
lover,情人
raw,生的
awareness,意识
surprising,奇怪
withdraw,提取
general,一般的
deck,甲板
similarly,相似地
newly,新
pole,极
testify,作证
mode,模式
dialogue,对话
imply,意味着
naturally,自然
mutual,相互的
founder,创办人
top,最佳
advanced,先进的
pride,自豪
dismiss,解雇
aircraft,飞机
delivery,送货
mainly,主要
bake,烤
freeze,冻结
platform,平台
finance,金融
sink,下沉
attractive,吸引人的
respect,尊重
diverse,各种各样的
relevant,相关的
ideal,理想的
joy,喜悦
worth,值得
regularly,经常
working,在职的
singer,歌手
evolve,发展
shooting,射击
partly,部分地
unknown,未知
assistant,助手
offense,罪行
counter,柜台
DNA,脱氧核糖核酸
smell,闻
potentially,可能
transfer,转移
thirty,三十
justify,证明合法
protest,反对
crash,碰撞
craft,工艺
treaty,条约
terrorist,恐怖分子
insight,洞察力
possess,具有
politically,政治上
tap,轻敲
lie,说谎
extensive,广泛的
episode,插曲
double,双倍的
swim,游泳
tire,胎
fault,过错
loose,松动的
free,自由
shortly,不久
originally,起初
considerable,大量
prior,事先的
intellectual,知识分子
mix,混合
assault,突击
relax,放松
stair,楼梯
adventure,冒险
external,外部的
proof,证明
confident,自信的
headquarters,司令部
sudden,突然
dirty,肮脏的
violation,违反
tongue,舌头
license,执照
hold,抓住
shelter,庇护所
rub,擦
controversy,争议
entrance,入口
favorite,最喜欢的
practice,实践
properly,适当地
fade,褪色
defensive,防御性
tragedy,悲剧
net,网
characterize,特征分析
funeral,葬礼
profession,职业
alter,改变
spot,点
constitute,构成
establishment,编制
squeeze,挤
imagination,想像力
target,目标
mask,面具
convert,转变
comprehensive,综合的
prominent,著名的
presentation,介绍
regardless,不管
easy,简单
load,加载
stable,稳定的
introduction,介绍
appeal,上诉
pretend,假装
not,不是
elderly,老年
representation,表示
deer,鹿
split,分裂
violate,违反
partnership,合伙
pollution,污染
emission,排放
steady,稳定的
vital,必不可少的
neither,两者都不
fate,命运
earnings,收益
oven,烤箱
distinction,分别
segment,部分
nowhere,无处
poet,诗人
mere,只
exciting,扣人心弦
variation,变化
comfort,舒适
radical,激进的
stress,压力
adapt,适应
Irish,爱尔兰的
honey,蜂蜜
correspondent,通信者
pale,苍白
musician,音乐家
significance,意义
load,加载
round,圆形的
vessel,血管
storage,贮存
flee,逃跑
mm-hmm,毫米-HMM
leather,皮革
distribute,分发
evolution,进化
ill,患病的
tribe,部落
shelf,架子
can,能够
grandfather,祖父
lawn,草地
buyer,买方
dining,用餐
wisdom,智慧
council,评议会
vulnerable,易受伤害的
instance,实例
garlic,大蒜
capability,能力
poetry,诗歌
celebrity,名人
gradually,逐步地
stability,稳定
doubt,怀疑
fantasy,幻想
scared,害怕的
guide,指导
plot,阴谋
framework,框架
gesture,手势
depending,根据
ongoing,不断的
psychology,心理学
since,自从
counselor,顾问
witness,证人
chapter,章节
fellow,同伴
divorce,离婚
owe,欠
pipe,管道
athletic,竞技
slight,轻微
math,数学
shade,阴凉处
tail,尾巴
sustain,维持
mount,山
obligation,义务
angle,角度
palm,棕榈
differ,不同
custom,风俗
store,店铺
economist,经济学家
fifteen,十五
soup,汤
celebration,庆典
efficient,高效的
damage,损害
composition,作品
satisfy,满足
pile,桩
briefly,简要地
carbon,碳
closer,接近
consume,消耗
scheme,方案
crack,裂缝
frequency,频率
tobacco,烟草
survivor,幸存者
besides,除了
in,在
psychologist,心理学家
wealthy,富裕
galaxy,星系
given,特定
fund,基金
ski,滑雪
limitation,局限性
OK,好的
trace,痕迹
appointment,预约
preference,偏爱
meter,仪表
explosion,爆炸
arrest,逮捕
publicly,公然
incredible,极好的
fighter,战斗机
rapid,迅速的
admission,入场
hunter,猎人
educate,教育
painful,痛苦
friendship,友谊
aide,助手
infant,婴儿
calculate,计算
fifty,五十
rid,摆脱
porch,门廊
tendency,趋势
uniform,制服
formation,编队
scholarship,奖学金
reservation,预订
efficiency,效率
waste,浪费
qualify,修饰
mall,购物中心
derive,派生
scandal,丑闻
PC,个人电脑
helpful,有帮助
impress,没话说
heel,脚跟
resemble,类似
privacy,隐私
fabric,织物
surprise,惊喜
contest,比赛
proportion,部分
guideline,指南
rifle,步枪
maintenance,维护
conviction,定罪
trick,诡计
organic,有机的
tent,帐篷
examination,考试
publisher,出版者
strengthen,加强
French,法语
proposed,建议的
myth,神话
sophisticated,复杂的
cow,奶牛
etc,等等
standing,常设
asleep,睡着
tennis,网球
nerve,神经
barrel,桶
bombing,轰炸
membership,籍
ratio,比率
menu,菜单
purchase,购买
controversial,有争议的
desperate,绝望的
rate,速度
lifestyle,生活方式
humor,幽默
loud,响
glove,手套
suspect,怀疑
sufficient,充足的
narrative,叙述
photographer,摄影师
helicopter,直升机
Catholic,天主教徒
modest,谦虚
provider,提供商
delay,延迟
agricultural,农业的
explode,爆炸
stroke,中风
scope,范围
punishment,惩罚
handful,少数
badly,惨
horizon,地平线
curious,好奇的
downtown,市中心
girlfriend,女朋友
prompt,迅速的
request,要求
cholesterol,胆固醇
absorb,吸收
adjustment,调整
taxpayer,纳税人
eager,渴望的
principal,主要的
detailed,详细的
motivation,动机
assignment,任务
restriction,限制
across,穿过
Palestinian,巴勒斯坦的
laboratory,实验室
workshop,作坊
differently,不同
auto,汽车
romantic,浪漫的
cotton,棉布
motor,马达
sue,起诉
flavor,味道
overlook,俯瞰
float,漂浮
undergo,经历
sequence,序列
demonstration,示范
jet,喷射
orange,橘子
consumption,消耗
assert,断言
blade,刀刃
temporary,暂时的
medication,药物
print,打印
cabin,舱
bite,咬
relative,相对的
edition,版
valley,谷
yours,你的
pitch,沥青
pine,松树
brilliant,杰出的
versus,相对
manufacturing,制造业
risk,风险
Christian,基督教
complex,复杂的
absolute,绝对
chef,厨师
discrimination,歧视
offensive,进攻
German,德语
suit,适合
boom,繁荣
register,登记
appoint,委
heritage,遗产
God,上帝
terrorist,恐怖分子
dominant,主导的
successfully,成功地
shit,拉屎
lemon,柠檬
hungry,饥饿的
sense,感觉
dry,干燥
wander,漫步
submit,提交
economics,经济学
naked,裸
anticipate,预料
nut,坚果
legacy,遗产
extension,延期
shrug,耸
fly,飞
battery,电池
arrival,到达
legitimate,合法的
orientation,方向
inflation,通货膨胀
cope,应付
flame,火焰
cluster,簇
host,主持人
wound,伤口
dependent,依赖的
shower,淋浴
institutional,制度
depict,描绘
operating,操作
flesh,肉
garage,车库
operator,操作员
instructor,讲师
collapse,坍塌
borrow,借
furthermore,此外
comedy,喜剧
mortgage,抵押
sanction,制裁
civilian,平民
twelve,十二
weekly,每周
habitat,栖息地
grain,粮食
brush,刷子
consciousness,意识
devote,奉献
crack,裂缝
measurement,测量
province,省
ease,舒适
seize,抢占
ethics,伦理
nomination,提名
permission,允许
wise,明智的
actress,演员
summit,首脑
acid,酸
odds,可能性
gifted,天才
frustration,挫折
medium,中等的
function,功能
physically,物理
grant,授予
distinguish,区分
shore,支撑
repeatedly,反复
lung,肺
firm,公司
running,跑步
correct,正确的
distinct,清楚的
artistic,艺术的
discourse,演讲
basket,篮子
ah,啊
fighting,斗争
impressive,感人的
competitor,竞争者
ugly,丑陋的
worried,担心
portray,写真
powder,粉末
ghost,鬼
persuade,说服
moderate,缓和
subsequent,随后的
continued,继续
cookie,曲奇饼
carrier,载体
cooking,烹饪
frequent,频繁
ban,禁止
swing,摇摆
orange,橘子
awful,可怕
admire,钦佩
pet,宠物
miracle,奇迹
exceed,超出
rhythm,韵律
widespread,广泛
killing,谋杀
lovely,迷人的
sin,罪
charity,慈善机构
script,脚本
tactic,战术
identification,鉴别
transformation,转型
everyday,每天
headline,标题
crash,碰撞
venture,冒险
invasion,侵入
military,军队
nonetheless,尽管如此
adequate,足够的
piano,钢琴
grocery,杂货店
intensity,强度
exhibit,展示
high,高的
blanket,毯子
margin,利润
principal,主要的
quarterback,四分卫
mouse,鼠
rope,绳索
concrete,具体的
prescription,处方
African-American,非裔美国人
chase,追赶
document,文档
brick,砖
recruit,招募
patch,修补
consensus,共识
horror,恐怖
recording,记录
changing,改变
painter,画家
colonial,殖民
pie,馅饼
sake,清酒
gaze,凝视
courage,勇气
pregnancy,怀孕
swear,发誓
defeat,打败
clue,线索
reinforce,加强
win,赢
confusion,困惑
slice,片
occupation,职业
dear,亲
coal,煤炭
sacred,神圣
criminal,刑事
formula,公式
cognitive,认知的
collective,集体
exact,精确的
uncle,叔叔
square,正方形
captain,队长
sigh,叹
attribute,属性
dare,敢
okay,好的
homeless,无家可归
cool,凉爽的
gallery,画廊
soccer,足球
defendant,被告
tunnel,隧道
fitness,健康
lap,膝部
grave,坟
toe,脚趾
container,容器
virtue,美德
abroad,国外
architect,建筑师
dramatically,显着
makeup,化妆品
inquiry,询问
rose,玫瑰
surprisingly,出奇
highlight,强调
decrease,减少
indication,迹象
rail,轨
anniversary,周年纪念日
couch,长椅
alliance,联盟
hypothesis,假设
boyfriend,男朋友
compose,撰写
peer,同行
mess,混乱
rank,秩
legend,传奇
regulate,调节
adolescent,青少年
shine,闪耀
norm,规范
upset,沮丧的
remark,评论
resign,辞职
reward,报酬
gentle,温和的
related,有关的
organ,器官
lightly,轻轻
concerning,关于
invent,发明
laughter,笑声
fit,合身
northwest,西北
counseling,辅导服务
tight,紧的
receiver,接收者
ritual,仪式
insect,昆虫
interrupt,打断
salmon,三文鱼
favor,青睐
trading,贸易
concern,忧虑
magic,魔法
superior,优越的
combat,战斗
stem,干
surgeon,外科医生
acceptable,接受
physics,物理
rape,强奸
counsel,法律顾问
brush,刷子
jeans,牛仔裤
hunt,打猎
continuous,连续
log,日志
echo,回声
pill,丸
excited,兴奋的
sculpture,雕塑
compound,化合物
integrate,整合
flour,面粉
bitter,苦的
bare,裸
slope,坡
rent,租
presidency,总统任期
serving,服务
subtle,微妙的
greatly,非常
bishop,主教
drinking,喝
delay,延迟
cry,哭
acceptance,验收
collapse,坍塌
shop,店铺
pump,泵
candy,糖果
evil,邪恶
final,最终的
finance,金融
pleased,满意
medal,勋章
beg,求
sponsor,赞助
ethical,合乎道德的
secondary,次要
slam,猛撞
export,出口
experimental,试验
melt,熔化
midnight,午夜
net,网
curve,曲线
integrity,正直
entitle,有权
evident,明显
logic,逻辑
essence,本质
park,公园
exclude,排除
harsh,残酷的
closet,壁橱
suburban,郊区的
greet,迎接
favor,青睐
interior,内部的
corridor,走廊
murder,谋杀
retail,零售
pitcher,投手
march,行进
snake,蛇
pitch,沥青
excuse,借口
cross,叉
weakness,弱点
pig,猪
cold,寒冷的
classical,古典
estimated,估计的
T-shirt,T恤
online,在线的
unemployment,失业
civilization,文明
fold,折叠
patient,病人
pop,流行音乐
daily,日常的
reverse,逆转
missing,丢失的
correlation,相关性
humanity,人性
flash,闪光
developer,开发人员
reliable,可靠的
excitement,激动
beef,牛肉
Islam,伊斯兰教
Roman,罗马
stretch,拉紧
architecture,建筑学
occasional,偶然
administrative,行政的
elbow,弯头
deadly,致命
Muslim,穆斯林
Hispanic,西班牙
allegation,断言
tip,提示
confuse,迷惑
airplane,飞机
monthly,每月一次
duck,鸭
dose,剂量
Korean,韩国人
plead,求情
initiate,发起
lecture,演讲
van,面包车
sixth,第六
bay,湾
mainstream,主流
suburb,市郊
sandwich,三明治
unlike,不像
trunk,树干
rumor,谣言
implementation,执行
swallow,吞
motivate,引动
render,使成为
longtime,很久
trap,陷阱
restrict,严格
cloth,布
seemingly,似乎
legislative,立法
effectiveness,效力
enforce,执行
lens,镜片
reach,抵达
inspector,检查员
lend,借
plain,清楚的
fraud,欺诈罪
companion,伴侣
contend,抗衡
nail,指甲
array,大批
strict,严格的
assemble,集合
frankly,坦白说
rat,鼠
burst,爆裂
hallway,门厅
cave,洞穴
inevitable,不可避免的
southwest,西南
monster,怪物
speed,速度
protest,反对
unexpected,意外
obstacle,障碍
facilitate,促进
encounter,遇到
rip,RIP
herb,草本植物
overwhelming,压倒
integration,一体化
crystal,水晶
recession,经济衰退
wish,希望
top,最佳
written,书面
motive,动机
label,标签
flood,洪水
pen,钢笔
ownership,所有权
nightmare,恶梦
notice,注意
inspection,检查
supervisor,导师
consult,咨询
arena,竞技场
laugh,笑
diagnosis,诊断
possession,拥有
forgive,原谅
warm,温暖的
consistently,始终如一
basement,地下室
project,项目
drift,漂移
drain,流走
last,最后的
prosecution,检察官
maximum,最大值
announcement,公告
warrior,战士
prediction,预言
bacteria,细菌
questionnaire,调查问卷
mud,泥
infrastructure,基础设施
hurry,匆忙
privilege,特权
temple,寺庙
medium,中等的
outdoor,户外的
suck,吮吸
and/or,和/或
broadcast,播送
re,关于
leap,飞跃
random,随机的
past,过去的
wrist,手腕
curtain,窗帘
monitor,监视器
pond,池塘
domain,领域
guilt,有罪
cattle,黄牛
subject,主题
walking,步行
playoff,挑拨
minimum,最低限度
fiscal,财
skirt,短裙
dump,倾倒
hence,因此
database,数据库
uncomfortable,不舒服
aim,目的
execute,执行
limb,肢
ideology,思想
average,平均数
welcome,欢迎
tune,调
continuing,继续
hay,干草
railroad,铁路
endure,忍受
radiation,辐射
horn,喇叭
chronic,慢性的
peaceful,平静的
innovation,创新
strain,拉紧
guitar,吉他
replacement,替代品
behave,表现
administer,管理
simultaneously,同时
dancer,舞蹈家
amendment,修正案
guard,警卫
pad,软垫
transmission,传播
await,等待
retired,退休
trigger,扳机
spill,洒
grateful,感激的
grace,优雅
virtual,虚拟的
response,回复
colony,殖民地
adoption,采用
slide,滑动
indigenous,土著
closed,关闭
convict,定罪
civilian,平民
towel,毛巾
modify,调整
particle,粒子
award,奖
glance,一瞥
prize,奖
landing,降落
conduct,执行
blue,蓝色
boost,促进
bat,蝙蝠
alarm,警报
festival,节日
grip,紧握
weird,奇怪的
undermine,破坏
freshman,新生
sweat,汗
outer,外
European,欧洲的
drunk,醉
survey,民意调查
research,研究
separation,分割
traditionally,传统
stuff,东西
govern,治理
southeast,东南
intelligent,聪明的
wherever,哪里
ballot,选票
rhetoric,修辞
convinced,相信
driving,驾驶
vitamin,维他命
enthusiasm,热情
accommodate,容纳
praise,称赞
injure,损伤
wilderness,荒野
nearby,附近
endless,无穷
mandate,授权
pause,暂停
excuse,借口
respectively,分别
uncertainty,不确定
chaos,混乱
short,短的
mechanical,机械的
canvas,帆布
forty,四十
matter,事情
lobby,前厅
profound,深刻的
format,格式
trait,特征
currency,货币
turkey,火鸡
reserve,预订
beam,光束
abuse,虐待
astronomer,天文学家
corruption,腐败
contractor,承包商
apologize,道歉
doctrine,教义
genuine,真的
thumb,拇指
unity,统一
compromise,妥协
horrible,可怕
behavioral,行为的
exclusive,独家的
scatter,分散
commonly,常用
convey,传达
rush,匆忙
twist,捻
complexity,复杂
fork,叉子
disk,磁盘
relieve,缓解
suspicion,怀疑
lock,锁
finish,结束
health-care,卫生保健
health-care,卫生保健
health-care,卫生保健
health-care,卫生保健
residence,住宅
shame,耻辱
meaningful,富有意义的
sidewalk,人行道
Olympics,奥运会
technological,技术性
signature,签名
pleasant,令人愉快的
wow,哇
suspend,暂停
rebel,反叛
frozen,冻结的
desire,欲望
spouse,伴侣
fluid,体液
pension,养老金
resume,恢复
theoretical,理论
sodium,钠
blow,吹
promotion,晋升
delicate,精美的
forehead,前额
rebuild,重建
bounce,弹跳
electrical,电动
hook,钩
detective,侦探
traveler,游客
click,点击
compensation,赔偿
signal,信号
exit,出口
attraction,引力
dedicate,奉献
altogether,共
pickup,捡起
carve,雕刻
needle,针
belly,腹部
ship,船
scare,吓
portfolio,文件夹
shuttle,穿梭
invisible,无形的
timing,定时
engagement,订婚
ankle,踝
transaction,交易
rescue,救援
counterpart,副本
historically,历史
firmly,牢牢
mild,温和的
rider,骑士
doll,玩具娃娃
noon,中午
exhibit,展示
amid,之中
identical,完全相同的
precise,精确的
anxious,焦虑的
structural,结构
residential,住宅
loud,响
diagnose,诊断
carbohydrate,糖类
liberty,自由
poster,海报
theology,神学
nonprofit,非营利性
crawl,爬行
oxygen,氧
handsome,英俊的
magic,魔法
sum,和
provided,假如
businessman,商人
promising,有希望
conscious,有意识的
determination,决心
donor,捐赠者
hers,她的
pastor,牧师
jazz,爵士乐
opera,歌剧
Japanese,日本人
bite,咬
frame,框架
evil,邪恶
acquisition,获得
pit,坑
hug,拥抱
wildlife,野生动物
punish,惩治
giant,巨大的
primary,基本的
equity,公平
wrong,错误的
doorway,门口
departure,离开
elevator,电梯
teenage,青少年
guidance,指导
happiness,幸福
statue,雕像
pursuit,追求
repair,修理
decent,体面的
gym,健身房
oral,口服
clerk,书记
Israeli,以色列
envelope,信封
reporting,报告
destination,目的地
fist,拳头
endorse,背书
exploration,勘探
generous,慷慨的
bath,浴
rescue,救援
thereby,从而
overall,总体
indicator,指标
sunlight,阳光
feedback,回馈
spectrum,光谱
purple,紫色的
laser,激光
bold,胆大
reluctant,不情愿的
starting,开始
expertise,专业知识
practically,几乎
program,程序
picture,图片
tune,调
eating,吃
age,年龄
volunteer,志愿者
hint,暗示
sharply,大幅
parade,游行
advocate,提倡
realm,领域
ban,禁止
strip,跳闸
cancel,取消
blend,混合
therapist,治疗师
slice,片
peel,剥
pizza,比萨
recipient,接受者
hesitate,犹豫
flip,翻动
accounting,会计
debate,辩论
bias,偏见
huh,呵呵
metaphor,隐喻
candle,蜡烛
handle,处理
worry,担心
judicial,司法
entity,实体
suffering,痛苦
full-time,全职
feel,感觉
lamp,灯
garbage,垃圾
servant,仆人
addition,添加
regulatory,监管
diplomatic,外交
elegant,优雅的
inside,里面
reception,接待
vanish,消失
automatically,自动地
chin,下巴
trail,踪迹
necessity,必要性
confess,承认
racism,种族主义
starter,起动机
interior,内部的
banking,银行业
casual,随意的
gravity,重力
enroll,注册
diminish,减退
prevention,预防
Arab,阿拉伯
value,价值
minimize,最小化
chop,劈
performer,演员
intent,意图
isolate,隔离
pump,泵
inventory,存货
productive,生产的
assembly,集会
civic,公民
silk,丝绸
magnitude,震级
steep,陡
hostage,人质
collector,集电极
popularity,声望
kiss,吻
alien,外侨
dynamic,动态的
scary,害怕
equation,方程
angel,天使
switch,转变
offering,供
rage,愤怒
photography,摄影
repair,修理
toilet,洗手间
disappointed,失望的
precious,宝贵的
prohibit,禁止
representative,代表
content,内容
realistic,实际的
Russian,俄语
hidden,隐
command,命令
tender,投标
wake,唤醒
gathering,搜集
outstanding,杰出的
stumble,绊倒
lonely,孤独
automobile,汽车
artificial,人造的
dawn,黎明
abstract,抽象的
descend,降序
silly,愚蠢的
hook,钩
tide,浪潮
shared,共享
hopefully,希望
readily,容易
cooperate,合作
revolutionary,革命的
romance,浪漫
hardware,硬件
pillow,枕头
kit,成套工具
cook,厨师
spread,传播
continent,大陆
seal,海豹
circuit,电路
sink,下沉
ruling,裁决
shortage,短缺
annually,每年
lately,最近
trap,陷阱
scan,扫描
fool,傻子
deadline,最后期限
rear,后部
processing,加工
ranch,牧场
coastal,沿海
undertake,承担
softly,轻轻的
reserve,预订
burning,燃烧
verbal,口头
tribal,部落的
ridiculous,荒谬的
automatic,自动的
diamond,钻石
credibility,可信性
import,进口
sexually,性
spring,春天
way,道路
divine,神圣
sentiment,情绪
cart,大车
oversee,兼管
stem,干
o'clock,点
elder,长老
pro,亲
inspiration,灵感
Dutch,荷兰人
quantity,数量
trailer,预告片
mate,伴侣
Greek,希腊语
genius,天才
monument,纪念碑
